business_name,category_desc,street,city,post_code,latitude,longitude,reviews_count,review_score,hygiene_score,place_id,BusinessName,PostCode,RatingValue,compare_name,compare_post
Sef's Kebab & Burger,Kebab shop,57 High St,Orpington,BR5 3NJ,51.3938155,0.1147324,83,4.5,,ChIJVe4ciBGt2EcRrR91NIih7qc,Sef's Kebab & Burger,BR5 3NJ,4,,
TGF Pizza Orpington,"Pizza delivery, Pizza restaurant",35 High St,Orpington,BR5 3NL,51.3947213,0.1150366,80,4.1,,ChIJX0_GMGes2EcRnGwDuloVSBg,,,,,
Punjabi Junction,Restaurant,273 Allenby Rd,Southall,UB1 2HD,51.5253372,-0.364928,163,4.2,,ChIJCZhGZokTdkgRFE63mFn3vYE,Punjabi Junction,UB1 2HD,3,,
Passion Jerk Centre,"Caribbean restaurant, Halal restaurant, Jamaican restaurant, Pizza delivery",414 Greenford Rd,Greenford,UB6 9AH,51.527098,-0.3521604,210,4.6,,ChIJO6SI1o8TdkgR4j5FCg5kme4,,,,,
Fortune Inn,"Chinese restaurant, Chinese takeaway",63B Dartmouth Rd,London,SE23 3HN,51.4368209,-0.0546907,88,4.4,,ChIJN2YJMNEDdkgRGYWvn-JaFME,,,,,
Go House,"Vietnamese restaurant, Cafe",1 Devonshire Rd,London,SE23 3HE,51.4393193,-0.0538983,158,4.2,,ChIJl7ynmdEDdkgR--Xy1LqBMmI,,,,,
Lolak Afrique Forest Hill,African restaurant,63A Dartmouth Rd,London,SE23 3HN,51.4368669,-0.0546675,36,3.6,,ChIJDylAfs0DdkgR9QC0DXSUvUs,,,,,
The Dewaniam,"Indian restaurant, Indian takeaway",3 Wastdale Rd,London,SE23 1HN,51.4425231,-0.04609,137,4.2,,ChIJMbuAwzICdkgRYGLCIlg-lT8,,,,,
Patois,"Restaurant, Catering food and drink supplier, Takeout Restaurant",,London,SE23 1HN,51.443237,-0.045722,4,4,,ChIJAQANaeIDdkgR1zlak3LJEJc,,,,,
Mamma Dough,"Pizza restaurant, Restaurant",299 Kirkdale,London,SE26 4QD,51.4274639,-0.0560647,156,4.3,,ChIJu1pVb1QBdkgRhHe-7t0Nuig,,,,,
Patty Palace Sydenham,Jamaican restaurant,27 Sydenham Rd,London,SE26 5EX,51.4264964,-0.0529443,25,3.1,,ChIJGVzqTv0BdkgRzJIxe9ZrdAc,,,,,
Vietsan,Vietnamese restaurant,40B Sydenham Rd,London,SE26 5QF,51.426056,-0.0520175,50,4.9,,ChIJoZQKieoBdkgR4Gyu2jlqSRY,Vietsan,SE26 5QF,AwaitingInspection,,
Absolutely Delicious Ltd,Jamaican restaurant,64 St German's Rd,London,SE23 1RX,51.4433018,-0.0374314,6,4.8,,ChIJXWAA6IADdkgRfGddmTTNRnc,,,,,
Red Pepper,Takeout Restaurant,63A Dartmouth Rd,London,SE23 3HN,51.4368619,-0.0546679,0,,,ChIJQ_-PFNEDdkgRIVmk9nKIUcM,,,,,
Elachi Indian Brasserie,Indian restaurant,133-135 Stanstead Rd,London,SE23 1HH,51.4424214,-0.0465984,13,4.3,,ChIJTYGAV80DdkgR2y5AfLDEVjY,,,,,
IGrill,"Takeout Restaurant, Fast food restaurant","Unit 4, Red Lion Court, 1B The Broadway",Greenford,UB6 9FJ,51.5275169,-0.3532814,151,4.4,,ChIJ7yoJxkcTdkgRhhhAO100q1Y,,,,,
Rockys,"Fast food restaurant, Pizza Takeout, Restaurant",183 Lady Margaret Rd,Southall,UB1 2PT,51.5187018,-0.375567,273,3.8,,ChIJ3946PskTdkgRVRQQZaJRgvE,Rockys,UB1 2PT,3,,
Pizza House & Grill,"Pizza Takeout, Fast food restaurant, Restaurant",504 Lady Margaret Rd,Southall,UB1 2NP,51.5305316,-0.372052,146,4.2,,ChIJx4XVDrQSdkgRzOxJm5cOj6w,,,,,
Sam's Chicken Greenford,"Fast food restaurant, Fried chicken takeaway",15 The Broadway,Greenford,UB6 9PH,51.5276834,-0.3537054,178,3.4,,ChIJuz30gb0SdkgRjpo8FqgJqHs,,,,,
Sunshine Chinese Take Away,Chinese takeaway,"1, Crays Parade",Orpington,BR5 3HG,51.4011104,0.1168513,29,4.2,,ChIJn1q-gkKs2EcRlF0ZKxD-QHc,,,,,
Cyprianis,"Mediterranean restaurant, Bar",17 Station Square,Orpington,BR5 1LY,51.389481,0.075641,386,4.4,,ChIJHVpjBp6r2EcRL63OWuTY8LQ,Cyprianis,BR5 1LY,5,,
China Chopsticks,"Chinese takeaway, Chinese restaurant",95 Cotmandene Cres,Orpington,BR5 2RB,51.4040196,0.1055255,35,4.5,,ChIJt04nA26s2EcRBY-xthBmYBE,China Chopsticks,BR5 2RB,5,,
Seafare,Fish and chips takeaway,14 Marion Cres,Orpington,BR5 2DD,51.3896176,0.1063246,104,3.7,,ChIJOwRRu2Ks2EcRnQ7WAkE3o8k,Seafare,BR5 2DD,3,,
