title,totalScore,reviewsCount,street,city,countryCode,website,phone,categoryName,url
Kappa,4.2,555,139 Earls Ct Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJrZ61r4wPdkgR9YBetu_HPDE
itsu - Notting Hill Gate,4.2,846,100 Notting Hill Gate,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJqbZGZPsPdkgRsEx6zMmU5To
Kampai Kensington,4.8,295,127A Hammersmith Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJTS0xDsgPdkgRJ7ywpnAnyvw
Sushi Daily Kensington,4.8,12,243 Kensington High St,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ5zjRCM4PdkgRrbBnbaCbKoU
Sushi Daily Gloucester Rd,4,9,"The Arcade, Waitrose, 128 Gloucester Rd",London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJy_wODd8FdkgRI0seYPkVGV4
Mimik Sushi & Ramen (Notting Hill),,0,174A Kensington Church St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJm8XAb5EddkgRWsPG-QguuAg
Kokoro Imperial,4.8,5,Imperial College Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJDUO-TOcFdkgRmVet8Oict8g
Sushi Prime,4.9,9,2 North End Rd,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ9xgP46oPdkgR6nDLv6pHf-4
Sticks'n'Sushi Chelsea,4.4,967,"113-115, King's Rd",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJl6n_TWMFdkgR8fco0QXqCk4
itsu - Kensington High Street,4.3,27,98 Kensington High St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ91w1M6UPdkgRjg45ky4SQOo
Dinings SW3,4.4,527,"Walton House, Lennox Gardens Mews, Walton St",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ__9Lhz8FdkgRdyenFjfQu5c
IZAKAYA @ Supermarket of Dreams,4.8,13,"Izakaya @ Supermarket of Dreams, 126 Holland Park Ave",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJc58aRMwPdkgRLhNCbXe1WZ4
Mikawa Japan | Sushi Sashimi Ramen | 日本 寿司 刺身 拉面 | Open Indoor | Also on Deliveroo UberEats,4.4,652,11 Goldhawk Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJN_zmPQQPdkgRZaMbh7zaW0E
Zuma London,4.5,2073,5 Raphael St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJZdN_kTgFdkgR0NR3z813cBw
Sticks'n'Sushi White City,4.6,152,"Southern Terrace, Ariel Way",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJFc0W5NcPdkgRdZMLsPfBCq8
Sumi Restaurant,4.6,309,157 Westbourne Grove,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJK0pYPVIPdkgRYVsAqpEMD6M
Cocoro Bayswater,4.5,111,45 Moscow Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ11icSiYbdkgRpKAWWORZDio
Kenta,4.6,404,106 Fulham Palace Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ64FsBboPdkgRP2MqCYeshgU
Benihana Chelsea,4.3,1496,77 King's Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJp0APU2sFdkgR1TksQm-kc_0
The Suzu House,4.4,308,170-172 Hammersmith Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJNUsnpLgPdkgRuRZrdfJ6LIc
Eat Tokyo,4.2,1624,169 King St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJv0wfa7UPdkgR8leGfn6yYN8
Dinings,4.5,480,22 Harcourt St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJYSYt-bUadkgRWynUg_VJ1gg
Yoshi Sushi,4.6,440,210 King St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ02ExpUoOdkgRP4v8jk750LY
itsu - White City,4.2,846,Level 50 Unit U2116 and U3110 Westfield,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJnxm4mziF2EcRdGn2ZiBfZkE
You Me Sushi,4.5,69,91 High St,Barnet,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJR60fyTwXdkgRUaXIpDAR04k
Koi Japanese & Chinese restaurant,3.4,107,27 The Broadway,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJreicqcQWdkgRcJYSfesmYck
Kiyoto Sushi Mill Hill,4.5,281,67 The Broadway,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJnUm7odwWdkgRbaEAIg3DwwI
Sushimania Edgware,4,788,210 Station Rd,Edgware,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJxW3iiaMWdkgRcGpYlSz22LA
Tootoomoo Whetstone,4.2,657,1371 High Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJF1hhyM8ZdkgRZPJMqdFd1_k
YO! Bond Street,3.9,1227,15 Woodstock St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJQ5CtpSwFdkgRGWgOiNfj2cg
Oka Notting Hill Sushi,4.7,33,11 Elgin Cres,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJD6ddUCQRdkgRvK6lg5edIW0
Tsukiji Sushi Fusion Fulham,4.6,60,211 Fulham Palace Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJa3crjXgPdkgRmQ812M1Y2H4
Sachi,4.5,233,"Ground Floor, Pantechnicon, 19 Motcomb St",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ_yA-lO0FdkgRJaThGyXsVv0
Sushi Daily Belgravia,4.9,14,27 Motcomb St,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJNeEdKeMFdkgRxuEIsd_DFiE
Sushi Daily Edgware Rd,,0,168-176 Edgware Rd,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ1dJqpR4bdkgRBX51Aq39WBQ
Sushi Daily Westfield White City,3.8,4,"Waitrose & Partners Westfield London, Westfield London Shopping Centre, Ariel Way",London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ-aamGhwPdkgR5FWz2VxGIs0
itsu - Baker Street 15,4.3,379,15 Baker St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ-wFAD9UadkgR8icVAB2jTU4
Waka - Japanese Peruvian Kitchen - White City,4,74,"Unit 2, 191 Wood Ln",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJh7yLFVIDdkgRYzTx0ydIAdw
Rin Sushi (Harrow),4.4,143,2 Grant Rd,Harrow,GB,,,Japanese restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJMfshbMgTdkgR13MPLYtb7vs
YO! London Selfridges,3.8,447,"Selfridges Food Hall, 400 Oxford St",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJQ5CtpSwFdkgRvZ0IwGD9QDM
itsu - Sheldon Square,4.2,147,"Paddington Central, 9 Sheldon Square",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJM4OONawadkgRRYfdtwp8tm8
Defune,4.4,172,34 George St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJGUWqns0adkgRI_ySkTG1PWM
itsu - Piccadilly,4.2,1028,167 Piccadilly,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJceTsPtYEdkgRuPaFxTM0qPk
bibida,4.7,432,"1 Hillgate St, Notting Hill Gate",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ70LicWIPdkgRyb_dWfE0jOc
Roji,4.9,61,56B S Molton St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJvbSayngFdkgRsU5vD8uEVZs
Ayllu,3.9,292,"Located beneath Smith's Bar & Grill, 25 Sheldon Square",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJl2XsiqQbdkgRKtVy7HlX6JQ
Nakanojo Marylebone,4.6,566,13 - 14 Thayer St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJq8Ul2tUbdkgRYRkAYPKxlj0
Sushi Edge,,0,"15, 19 Edgwarebury Ln",Edgware,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJTynBIrAXdkgR8a_NUWQli8Q
Ocean Pan Asia,3.9,14,225-227 Edgware Rd,London,GB,,,Japanese restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ43i06zERdkgRRu5nSfyZBk0
Hare & Tortoise Putney,4.1,673,296-298 Upper Richmond Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJW7YDIRAPdkgR6unP00AHGlM
You Me Sushi,4.3,80,Unit 21 Wembley Park Blvd,Wembley,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJeZOPxsARdkgRq2WGGmpB_DM
Sushi Daily South Harrow,3.7,6,140 Northolt Rd,Harrow,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJA-VV_GATdkgRdGoA9xBE6WY
Sushi box,5,1,"10b, 1 Archway Cl",London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJCXqnnXMPdkgRT5h1RQFmF44
Inso Pan Asian,3.9,308,"Unit 8, The Broadway, 8 Joel St",Northwood,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJH6YRvWNrdkgRD4A9CQPe_IE
IRO SUSHI (Orpington),4.8,16,163 High St.,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJLfo5D-et2EcRtGelxPBE9Xo
Sushi Daily Green Street Green,5,1,"Waitrose & Partners, 11 High St",Orpington,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJa-wXadur2EcRAn1Pd68hiOc
I Love Gyoza Restaurant,4.3,235,59 High St,Sidcup,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJW4Gc--Ct2EcRcFv0oHiVgDc
Momo Japanese Restaurant,4.6,155,"15 Ashbourne Parade, Hanger Ln",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJI78B_wYSdkgRU9zr5LXVMZc
Sushi Futomaki Ruislip,4.8,135,109 High St,Ruislip,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJgy4o8YJtdkgR2tJgMWlYzLI
"UNIQ Sushi & Poke, Japanese, Korean Food",4.5,46,819 Fulham Rd.,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJNWDW0pcPdkgRUxnMhDGNj94
Sushi Daily Park Royal,3.8,4,2-20 Western Rd,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJrWYmmmkRdkgRhJZP9Sowa0Y
Sayurit Sushi Ealing,4.7,41,78 S Ealing Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJmeSSgaMNdkgRBQ8ke6NsWFc
Sushi Boom London,4.5,281,26 Cowley Rd,Uxbridge,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ00I9xjNvdkgRggVx8D9EDzc
Sushi Gourmet (inside Sainsbury's),5,1,303 Uxbridge Rd,Hampton,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ3b_f9yQNdkgR_-JR9xEtbUg
Sushi Manga Whitton,4,268,15 High Street Whitton,Twickenham,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJeTlrtsAMdkgRO4uvwgjVFBs
Sayurit Sushi,4.2,77,19 Richmond Rd,Twickenham,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJDbH7HmEMdkgRKhyrwMKO-WA
Sushi Point - Twickenham,4.1,88,7 London Rd,Twickenham,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJKUozilMNdkgR7ufBDNhjhgk
Kokoro Uxbridge,4.4,610,20 High St,Uxbridge,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJObI8qHBudkgRC0gKBIUPdY4
Rin Sushi(Ruislip),4.6,54,"4, West Ruislip Station, Ickenham Rd",Ruislip,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ7WhlejRtdkgROZeysdzjo3Y
Wasabi Sushi & Bento,4.3,1011,The Broadway,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJHUsWGPUNdkgRfPRNu4qIE1U
Ta Ke Sushi,4.5,701,"3-4, Grosvenor Parade, Uxbridge Rd",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJu8sxnP4NdkgRAzkUna2xmJQ
Iso sushi,4.1,56,183 Twickenham Rd,Isleworth,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJE7Aa6j8NdkgRWmvlMK8kq-c
Hare & Tortoise Ealing,4.2,1331,38-39 Haven Grn,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJx8bdaAoSdkgRyuxo7JneaMs
Yuma Sushi,4.4,199,"Shop 1, Chiswick Park Station, Acton Ln",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJvRTuCjgMdkgRxtPUvw4VPb8
itsu - Ealing Broadway,4.2,587,Ealing Broadway Shopping Centre,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJq6p6c_UNdkgRV3zLfFj4ovc
YO! Heathrow T2,4.3,1545,"Terminal 2:, Heathrow Airport, The Queens Terminal (Airside",Hounslow,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJe8BR-cpzdkgRW-z6jeww_CE
YO! Heathrow T3,3.9,711,"Heathrow Airport, Terminal 3: Departure Lounge",Hounslow,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ6W3FzTRydkgRofYAxrFS9FU
Gochisou sushi and bento,4.2,145,"Unit 1B, Building 5, Chiswick Business Park, 566 Chiswick High Rd.",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJJ0uM1gwOdkgR5ks8v6SJp6k
You Me Sushi,4.7,152,4 The Grn,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJpQL3eoENdkgRukaAmOKE6Bs
Ezo Japanese Noodle and Sushi,4.5,219,67 Churchfield Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJpRxKtocPdkgRq9I4WEhTjU4
itsu - Heathrow,3.3,81,"Unit 2071, Gate level, Terminal 5, Heathrow, Airport",Hounslow,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJR364-8RxdkgRhW4te3biSHY
Mimik Sushi & Ramen (Acton) Bottomless Sushi,4.9,104,269 High St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJOQgkyY0PdkgRB5JfQZXZXTI
"Soldeli - Japanese Sushi, Sake, Groceries, Online",4.5,84,"Unit10C, Scotts Rd",Southall,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJe5vaY6JzdkgRIYP1ICvg-XE
"🇯🇵🏯Sakusei (Bento Box,Katsu,Teriyaki,Japanese Curry,Sushi)",4.9,74,5 Seven Stars Corner,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJJ20yutkPdkgRVSclrGlPfIo
Sodai Sushi,4.4,10,Unit B1 Atlip Rd,Wembley,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJYdPMAtwTdkgRX8JFDl8fG4A
SLsushi,,0,12 Walton Rd,Harrow,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJQ2Oig9MTdkgRDeTFZjgDUww
itsu - Wembley,4.5,152,18 Wembley Park Blvd,Wembley,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJlZcK-LARdkgRlcKpohd28Ww
Sushi Daily Chiswick,4.8,4,356-362 Chiswick High Rd.,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJZVvCAuUPdkgRrdXndILZS-Y
Yangs,4.9,153,"Yangs, Clayton Rd",Hayes,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ9UG4SWhzdkgR6u_u641JwWA
Panku Colindale,5,3,"Capitol Way, Edgware Rd",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ_-I802URdkgRj5d0MZo16Xw
Mashi sushi,5,2,The 17,Gossamer garden,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJz-v5c5UddkgROsoa_PELSsk
Sushi Lounge,5,5,"Ground Floor, 290 Hackney Rd",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJZ5dEFSgddkgRSjIDYPlFqr0
Nobu Restaurant London Shoreditch,4.3,317,30 Willow St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJz951_K8cdkgRgEqJg7ExLfE
itsu - Great Eastern St,4,235,49-51 Great Eastern St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJYQD7SLIcdkgRRq_GAzbtG8A
Sushicity,4.4,5,219 Whitechapel Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJEeSe2tgddkgRM5rtrhSfI_o
Sushi John's,5,3,161 Brick Ln,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJf8RkfVAddkgRV67gBPTmxog
itsu - City Road,4.2,71,161 City Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ7cLCz-EddkgRzUNNFll_ob0
Sanjugo Angel,4.8,1125,42 Duncan St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJafBMJ6wbdkgR-KqbdKzyekE
Samako Sushi,1,1,2 Fashion St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJw57rT7QcdkgRvsniCw-6f4Q
Sushi Street,,0,84 Brick Ln,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJS_DFGFUddkgRNso_p0uekwM
KOKORO Richmond,3.7,42,32 The Quadrant,Richmond,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJURZwSHINdkgROcM1EWpvSEs
Sushi Gourmet,3.5,2,Sainsbury's Crayford,Dartford,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJF7db3FOv2EcRoyvpe5mZZO8
Island Poké Richmond,4.1,81,4 George St,Richmond,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJveisc1wNdkgRH3hN1nyItTc
Eat Tempura Ltd,3.6,18,5-7 Court St,London,GB,,,Japanese restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJreFF0eYddkgRWhOLsEf8AyQ
Mi Sushi,3.7,45,6 Pinchin St,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJYxQDbzQDdkgRIbzAte3Dhqo
Nando's Crayford,4.1,1030,"TOWER RETAIL PARK, 2, Crayford Rd",Dartford,GB,,,Restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJc9_8Uh-u2EcRAD5LaLfLe5M
Island Poké Shoreditch,4.1,279,42 Great Eastern St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJQa3zAUUddkgR0QB7wHTONpY
Japanika,4.3,89,10 Hanbury St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJf-r01bUcdkgRam9DYWeCgdA
Hare and Tortoise Chiswick,4.4,871,156 Chiswick High Rd.,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJVZ3hkEAOdkgRxAHybsWsYCU
Sushi Hand Friends Ltd,4.6,210,175 Trafalgar Rd,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJTfsIVc6p2EcRUTgGfTGkyno
C.DO Sushi (Japanese/Sushi Gidea Park Station),4.9,45,7 Station Rd,Romford,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJn_kHHGK72EcRBZcxOGo-yT8
Oke Sushi,5,1,102 Bollo Ln,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ57tzP7IPdkgRMczI7EXTlfA
Ebi Sushi Hammersmith,2.8,6,40 Fulham Palace Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJBfCMBgIPdkgRe1QT8t1InoE
Sushi Temple,2.5,16,22 Woolwich Rd,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJyeOsRG4DdkgR2IzGNLx3Ndg
Sushi Daily Wapping,3.7,3,Thomas More St,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJL-8avTYDdkgRweLng8IMD3I
Sushi Juno,4.7,40,95 Seven Sisters Rd,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJNzmqmr0bdkgRZhmGmd0HOkQ
Waka - Japanese Peruvian Kitchen - More Town,3.9,22,Unit 3 Thomas More St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJn0rg1JsDdkgRV3qWBjFQcAA
Sakura Sushi Delivery,5,10,51 Alton Rd,Croydon,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ16WH-2wHdkgRCKu3J8mewHE
Sushi Gourmet,,0,23 St James's Rd,Croydon,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJsSjITH8HdkgRQo12MWOxjHk
YO! Sushi,3.8,23,"House of Fraser, Centrale Shopping Centre, 21 North End Road",Croydon,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJs69YqjEHdkgRcz3SCJOIPvc
Yo! Sushi - Boxpark Croydon,3.7,22,99 George St,Croydon,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJC8LiFDMHdkgRGLAjApiuMTA
Sushi Daily Harrow Weald,5,7,"Waitrose & Partners, 350 High Rd",Harrow,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJbcQmmycVdkgRjHluhtluoGc
Sushi & Thai,4.8,287,26 High St,West Drayton,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJU_Hkm_9xdkgR5GkE6vysr9M
yama sushi bexleyheath,,0,145 Broadway,Bexleyheath,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJOwZNJSmv2EcRFfF5PTMkEJE
Nova Park Royal,3.9,1121,Kendal Ave,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ90-NjYIRdkgRRUjhgPAmptA
Arigato Sushi,4.8,139,514 Commercial Rd,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ_9IKE24DdkgRrqRxEgBF0XE
Sushi Essence Herne Hill,5,3,147 Half Moon Ln,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJIZf5DO8DdkgR-p-YhP440To
Bamboo Japanese Takeaway,,0,41 New Rd,Rainham,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJX5NW2DCl2EcRt9Yx8QsaMKQ
