title,totalScore,reviewsCount,street,city,countryCode,website,phone,categoryName,url
Osaka,4.5,176,358 Malden Rd,Worcester Park,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJB_MCMKEJdkgRdu_BA9dO8ko
You Me Sushi,3.9,37,98 High St,New Malden,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJW2QKoZcJdkgROKiJJz__YE4
Nabemono,2.8,60,135 Tilbury Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJcXNAU44ddkgRxG5ar79QDW4
Sticks'n'Sushi,4.4,1422,1 Crossrail Pl,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJKTgEPrcCdkgRPC9miiM9iBI
Sushi Daily Stratford City,5,2,Westfield Ave,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJNZI9BT8ddkgREIzlBPaFYLU
Mario Sushi,2.6,15,416 Hoe St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJq6qpapMddkgRx4fqE9YL6Zg
itsu - Stratford,4.3,103,"Unit S4, 13-14 Endeavour Square",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJa0M14pEddkgRxmOVdJR1g58
You Me Sushi,4.5,85,226 High St,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJIYIi5aoddkgR_vS9wWQO32A
Yuhoki Japanese Restaurant,4.4,361,115 Meridian Pl,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJW5OvvKQCdkgRGJ8pxLf6-QE
Ona's Bento Sushi Bar,4.8,116,486 Roman Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJiy7z5zgddkgRtMhtTyJdl5g
Fuji Sushi & Thai,5,27,100 Hoe St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJYx5J0KcddkgRSwKzGrLufys
Super Sushi,4.3,357,89-91 Old Church Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJkbEtBRYedkgR7pA1pMHwfvs
yakisa sushi ltd,4.5,53,164 Chatsworth Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJKa4vSpQddkgR5opxYRTzgS4
Bamboo-Mat Leyton,4.7,169,625 High Rd. Leyton,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJL3JZ1x0ddkgRZ2nKRhiHnYk
Sushi & Thai Express,4.4,149,98 Mile End Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJQZvxeWoddkgR3R8lzBTbH3A
Yori Sushi Hackney,4.1,179,79 Amhurst Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ_Sjg8_AcdkgRa0cMZUkpQXo
Sushinoen,4.5,1402,2 White Church Ln,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJk0govMocdkgRMHymyiHS2BQ
Maki & Co,4.8,97,567 Garratt Ln,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJLW5bAb0FdkgRN97fsgwZ8WM
HUNNU Sushi & Bento,4.1,54,255 Wimbledon Park Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ11y7VzYPdkgRX8ZNZaRMI_w
"Funaya (Sushi, Sashimi, Japanese Supermarket)",5,55,126 Merton Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ1-bgkEQJdkgR65r5NRSr0o8
